Appointment_Date,Total_Appointments,No_Show,Day_Index
2023-05-29,78,16,148
2023-05-30,49,15,149
2023-05-31,52,18,150
2023-06-01,62,16,151
2023-06-02,54,14,152
2023-06-03,65,22,153
2023-06-04,61,11,154
2023-06-05,47,6,155
2023-06-06,55,10,156
2023-06-07,64,17,157
2023-06-08,45,18,158
2023-06-09,53,12,159
2023-06-10,46,13,160
2023-06-11,62,18,161
2023-06-12,49,12,162
2023-06-13,65,14,163
2023-06-14,48,19,164
2023-06-15,61,19,165
2023-06-16,71,20,166
2023-06-17,56,16,167
2023-06-18,61,13,168
2023-06-19,60,16,169
2023-06-20,56,11,170
2023-06-21,49,7,171
2023-06-22,53,14,172
2023-06-23,70,21,173
2023-06-24,58,15,174
2023-06-25,51,12,175
2023-06-26,49,9,176
2023-06-27,66,19,177
2023-06-28,58,16,178
2023-06-29,59,17,179
2023-06-30,55,9,180
2023-07-01,53,15,181
2023-07-02,69,12,182
2023-07-03,52,9,183
2023-07-04,70,12,184
2023-07-05,73,17,185
2023-07-06,66,15,186
2023-07-07,59,17,187
2023-07-08,68,16,188
2023-07-09,67,24,189
2023-07-10,51,12,190
2023-07-11,35,13,191
2023-07-12,53,14,192
2023-07-13,55,13,193
2023-07-14,59,14,194
2023-07-15,53,6,195
2023-07-16,59,14,196
2023-07-17,53,11,197
2023-07-18,71,14,198
2023-07-19,43,9,199
2023-07-20,50,13,200
2023-07-21,59,17,201
2023-07-22,60,17,202
2023-07-23,43,10,203
2023-07-24,42,11,204
2023-07-25,50,9,205
2023-07-26,69,20,206
2023-07-27,63,18,207
2023-07-28,51,14,208
2023-07-29,62,12,209
2023-07-30,61,16,210
2023-07-31,75,25,211
2023-08-01,57,13,212
2023-08-02,54,17,213
2023-08-03,68,18,214
2023-08-04,50,7,215
2023-08-05,64,14,216
2023-08-06,60,13,217
2023-08-07,66,17,218
2023-08-08,54,12,219
2023-08-09,68,23,220
2023-08-10,68,17,221
2023-08-11,45,12,222
2023-08-12,58,10,223
2023-08-13,65,16,224
2023-08-14,62,17,225
2023-08-15,67,14,226
2023-08-16,60,12,227
2023-08-17,54,16,228
2023-08-18,76,20,229
2023-08-19,59,17,230
2023-08-20,78,22,231
2023-08-21,60,13,232
2023-08-22,63,17,233
2023-08-23,51,8,234
2023-08-24,55,8,235
2023-08-25,68,16,236
2023-08-26,56,13,237
2023-08-27,52,9,238
2023-08-28,58,11,239
2023-08-29,50,14,240
2023-08-30,56,25,241
2023-08-31,60,10,242
2023-09-01,67,18,243
2023-09-02,64,25,244
2023-09-03,60,16,245
2023-09-04,68,9,246
2023-09-05,65,18,247
2023-09-06,57,13,248
2023-09-07,66,18,249
2023-09-08,65,20,250
2023-09-09,56,10,251
2023-09-10,50,12,252
2023-09-11,58,16,253
2023-09-12,63,17,254
2023-09-13,49,11,255
2023-09-14,57,17,256
2023-09-15,56,18,257
2023-09-16,67,21,258
2023-09-17,72,20,259
2023-09-18,59,11,260
2023-09-19,60,17,261
2023-09-20,50,14,262
2023-09-21,59,9,263
2023-09-22,60,12,264
2023-09-23,69,23,265
2023-09-24,60,16,266
2023-09-25,39,14,267
2023-09-26,59,12,268
2023-09-27,50,10,269
2023-09-28,51,13,270
2023-09-29,67,18,271
2023-09-30,59,15,272
2023-10-01,47,10,273
2023-10-02,53,15,274
2023-10-03,53,16,275
2023-10-04,50,9,276
2023-10-05,61,21,277
2023-10-06,68,20,278
2023-10-07,71,22,279
2023-10-08,41,14,280
2023-10-09,61,10,281
2023-10-10,47,8,282
2023-10-11,67,11,283
2023-10-12,68,19,284
2023-10-13,59,19,285
2023-10-14,43,4,286
2023-10-15,73,19,287
2023-10-16,43,15,288
2023-10-17,61,19,289
2023-10-18,52,14,290
2023-10-19,66,13,291
2023-10-20,56,13,292
2023-10-21,63,12,293
2023-10-22,51,9,294
2023-10-23,56,16,295
2023-10-24,58,14,296
2023-10-25,56,15,297
2023-10-26,57,14,298
2023-10-27,61,15,299
2023-10-28,71,17,300
2023-10-29,55,11,301
2023-10-30,44,11,302
2023-10-31,62,13,303
2023-11-01,55,13,304
2023-11-02,56,14,305
2023-11-03,55,14,306
2023-11-04,58,14,307
2023-11-05,60,13,308
2023-11-06,50,15,309
2023-11-07,63,18,310
2023-11-08,55,10,311
2023-11-09,43,7,312
2023-11-10,59,17,313
2023-11-11,61,15,314
2023-11-12,48,19,315
2023-11-13,63,19,316
2023-11-14,63,21,317
2023-11-15,73,19,318
2023-11-16,58,12,319
2023-11-17,61,15,320
2023-11-18,60,15,321
2023-11-19,62,18,322
2023-11-20,59,14,323
2023-11-21,61,17,324
2023-11-22,56,9,325
2023-11-23,66,15,326
2023-11-24,51,6,327
2023-11-25,64,15,328
2023-11-26,64,17,329
2023-11-27,45,11,330
2023-11-28,46,13,331
2023-11-29,67,19,332
2023-11-30,51,14,333
2023-12-01,45,12,334
2023-12-02,64,13,335
2023-12-03,62,13,336
2023-12-04,61,12,337
2023-12-05,61,16,338
2023-12-06,55,10,339
2023-12-07,63,13,340
2023-12-08,67,15,341
2023-12-09,70,20,342
2023-12-10,40,10,343
2023-12-11,48,14,344
2023-12-12,57,18,345
2023-12-13,49,15,346
2023-12-14,59,10,347
2023-12-15,69,19,348
2023-12-16,60,12,349
2023-12-17,50,17,350
2023-12-18,39,10,351
2023-12-19,63,17,352
2023-12-20,54,13,353
2023-12-21,54,15,354
2023-12-22,44,20,355
2023-12-23,53,17,356
2023-12-24,57,18,357
2023-12-25,62,13,358
2023-12-26,55,16,359
2023-12-27,57,17,360
2023-12-28,41,11,361
2023-12-29,59,17,362
2023-12-30,52,15,363
2023-12-31,54,15,364
