Date,Time_ID,Day,Month,Weekday
2023-08-20,134,20,8,Sunday
2023-08-19,135,19,8,Saturday
2023-08-18,136,18,8,Friday
2023-08-16,137,16,8,Wednesday
2023-08-15,138,15,8,Tuesday
2023-08-17,139,17,8,Thursday
2023-08-14,140,14,8,Monday
2023-08-13,141,13,8,Sunday
2023-08-11,142,11,8,Friday
2023-08-12,143,12,8,Saturday
2023-08-10,144,10,8,Thursday
2023-08-09,145,9,8,Wednesday
2023-08-08,146,8,8,Tuesday
2023-08-07,147,7,8,Monday
2023-08-06,148,6,8,Sunday
2023-08-05,149,5,8,Saturday
2023-08-04,150,4,8,Friday
2023-08-03,151,3,8,Thursday
2023-08-02,152,2,8,Wednesday
2023-08-01,153,1,8,Tuesday
2023-07-30,154,30,7,Sunday
2023-07-31,155,31,7,Monday
2023-07-29,156,29,7,Saturday
2023-07-27,157,27,7,Thursday
2023-07-28,158,28,7,Friday
2023-07-26,159,26,7,Wednesday
2023-07-25,160,25,7,Tuesday
2023-07-24,161,24,7,Monday
2023-07-23,162,23,7,Sunday
2023-07-22,163,22,7,Saturday
2023-07-21,164,21,7,Friday
2023-07-20,165,20,7,Thursday
2023-07-19,166,19,7,Wednesday
2023-07-18,167,18,7,Tuesday
2023-07-17,168,17,7,Monday
2023-07-16,169,16,7,Sunday
2023-07-15,170,15,7,Saturday
2023-07-14,171,14,7,Friday
2023-07-13,172,13,7,Thursday
2023-07-12,173,12,7,Wednesday
2023-07-11,174,11,7,Tuesday
2023-07-10,175,10,7,Monday
2023-07-09,176,9,7,Sunday
2023-07-08,177,8,7,Saturday
2023-07-07,178,7,7,Friday
2023-07-06,179,6,7,Thursday
2023-07-05,180,5,7,Wednesday
2023-07-04,181,4,7,Tuesday
2023-07-03,182,3,7,Monday
2023-07-02,183,2,7,Sunday
2023-07-01,184,1,7,Saturday
2023-06-30,185,30,6,Friday
2023-06-29,186,29,6,Thursday
2023-06-28,187,28,6,Wednesday
2023-06-27,188,27,6,Tuesday
2023-06-26,189,26,6,Monday
2023-06-24,190,24,6,Saturday
2023-06-25,191,25,6,Sunday
2023-06-23,192,23,6,Friday
2023-06-22,193,22,6,Thursday
2023-06-21,194,21,6,Wednesday
2023-06-20,195,20,6,Tuesday
2023-06-19,196,19,6,Monday
2023-06-18,197,18,6,Sunday
2023-06-17,198,17,6,Saturday
2023-06-16,199,16,6,Friday
2023-06-15,200,15,6,Thursday
2023-06-14,201,14,6,Wednesday
2023-06-12,202,12,6,Monday
2023-06-13,203,13,6,Tuesday
2023-06-11,204,11,6,Sunday
2023-06-10,205,10,6,Saturday
2023-06-09,206,9,6,Friday
2023-06-08,207,8,6,Thursday
2023-06-07,208,7,6,Wednesday
2023-06-06,209,6,6,Tuesday
2023-06-05,210,5,6,Monday
2023-06-04,211,4,6,Sunday
2023-06-03,212,3,6,Saturday
2023-06-02,213,2,6,Friday
2023-06-01,214,1,6,Thursday
2023-05-31,215,31,5,Wednesday
2023-05-30,216,30,5,Tuesday
2023-05-29,217,29,5,Monday
2023-05-28,218,28,5,Sunday
2023-05-27,219,27,5,Saturday
2023-05-26,220,26,5,Friday
2023-05-25,221,25,5,Thursday
2023-05-23,222,23,5,Tuesday
2023-05-24,223,24,5,Wednesday
2023-05-22,224,22,5,Monday
2023-05-21,225,21,5,Sunday
2023-05-20,226,20,5,Saturday
2023-05-19,227,19,5,Friday
2023-05-18,228,18,5,Thursday
2023-05-17,229,17,5,Wednesday
2023-05-16,230,16,5,Tuesday
2023-05-15,231,15,5,Monday
2023-05-14,232,14,5,Sunday
2023-05-13,233,13,5,Saturday
2023-05-12,234,12,5,Friday
2023-05-11,235,11,5,Thursday
2023-05-10,236,10,5,Wednesday
2023-05-09,237,9,5,Tuesday
2023-05-08,238,8,5,Monday
2023-05-07,239,7,5,Sunday
2023-05-06,240,6,5,Saturday
2023-05-05,241,5,5,Friday
2023-05-04,242,4,5,Thursday
2023-05-03,243,3,5,Wednesday
2023-05-02,244,2,5,Tuesday
2023-05-01,245,1,5,Monday
2023-04-30,246,30,4,Sunday
2023-04-29,247,29,4,Saturday
2023-04-28,248,28,4,Friday
2023-04-27,249,27,4,Thursday
2023-04-26,250,26,4,Wednesday
2023-04-25,251,25,4,Tuesday
2023-04-24,252,24,4,Monday
2023-04-23,253,23,4,Sunday
2023-04-22,254,22,4,Saturday
2023-04-21,255,21,4,Friday
2023-04-19,256,19,4,Wednesday
2023-04-17,257,17,4,Monday
2023-04-18,258,18,4,Tuesday
2023-04-20,259,20,4,Thursday
2023-04-16,260,16,4,Sunday
2023-04-15,261,15,4,Saturday
2023-04-14,262,14,4,Friday
2023-04-13,263,13,4,Thursday
2023-04-12,264,12,4,Wednesday
2023-04-11,265,11,4,Tuesday
2023-04-10,266,10,4,Monday
2023-04-09,267,9,4,Sunday
2023-04-08,268,8,4,Saturday
2023-04-07,269,7,4,Friday
2023-04-06,270,6,4,Thursday
2023-04-05,271,5,4,Wednesday
2023-04-04,272,4,4,Tuesday
2023-04-03,273,3,4,Monday
2023-04-02,274,2,4,Sunday
2023-04-01,275,1,4,Saturday
2023-03-31,276,31,3,Friday
2023-03-30,277,30,3,Thursday
2023-03-29,278,29,3,Wednesday
2023-03-28,279,28,3,Tuesday
2023-03-27,280,27,3,Monday
2023-03-26,281,26,3,Sunday
2023-03-25,282,25,3,Saturday
2023-03-24,283,24,3,Friday
2023-03-23,284,23,3,Thursday
2023-03-22,285,22,3,Wednesday
2023-03-21,286,21,3,Tuesday
2023-03-20,287,20,3,Monday
2023-03-19,288,19,3,Sunday
2023-03-18,289,18,3,Saturday
2023-03-17,290,17,3,Friday
2023-03-16,291,16,3,Thursday
2023-03-15,292,15,3,Wednesday
2023-03-14,293,14,3,Tuesday
2023-03-13,294,13,3,Monday
2023-03-12,295,12,3,Sunday
2023-03-11,296,11,3,Saturday
2023-03-10,297,10,3,Friday
2023-03-09,298,9,3,Thursday
2023-03-08,299,8,3,Wednesday
2023-03-07,300,7,3,Tuesday
2023-03-06,301,6,3,Monday
2023-03-05,302,5,3,Sunday
2023-03-04,303,4,3,Saturday
2023-03-03,304,3,3,Friday
2023-03-02,305,2,3,Thursday
2023-03-01,306,1,3,Wednesday
2023-02-28,307,28,2,Tuesday
2023-02-27,308,27,2,Monday
2023-02-26,309,26,2,Sunday
2023-02-25,310,25,2,Saturday
2023-02-24,311,24,2,Friday
2023-02-23,312,23,2,Thursday
2023-02-21,313,21,2,Tuesday
2023-02-20,314,20,2,Monday
2023-02-22,315,22,2,Wednesday
2023-02-19,316,19,2,Sunday
2023-02-18,317,18,2,Saturday
2023-02-17,318,17,2,Friday
2023-02-16,319,16,2,Thursday
2023-02-15,320,15,2,Wednesday
2023-02-14,321,14,2,Tuesday
2023-02-13,322,13,2,Monday
2023-02-12,323,12,2,Sunday
2023-02-11,324,11,2,Saturday
2023-02-10,325,10,2,Friday
2023-02-09,326,9,2,Thursday
2023-02-08,327,8,2,Wednesday
2023-02-07,328,7,2,Tuesday
2023-02-05,329,5,2,Sunday
2023-02-06,330,6,2,Monday
2023-02-04,331,4,2,Saturday
2023-02-03,332,3,2,Friday
2023-02-02,333,2,2,Thursday
2023-02-01,334,1,2,Wednesday
2023-01-31,335,31,1,Tuesday
2023-01-30,336,30,1,Monday
2023-01-29,337,29,1,Sunday
2023-01-28,338,28,1,Saturday
2023-01-27,339,27,1,Friday
2023-01-26,340,26,1,Thursday
2023-01-25,341,25,1,Wednesday
2023-01-24,342,24,1,Tuesday
2023-01-23,343,23,1,Monday
2023-01-22,344,22,1,Sunday
2023-01-21,345,21,1,Saturday
2023-01-20,346,20,1,Friday
2023-01-18,347,18,1,Wednesday
2023-01-19,348,19,1,Thursday
2023-01-17,349,17,1,Tuesday
2023-01-16,350,16,1,Monday
2023-01-15,351,15,1,Sunday
2023-01-13,352,13,1,Friday
2023-01-14,353,14,1,Saturday
2023-01-11,354,11,1,Wednesday
2023-01-12,355,12,1,Thursday
2023-01-10,356,10,1,Tuesday
2023-01-09,357,9,1,Monday
2023-01-08,358,8,1,Sunday
2023-01-07,359,7,1,Saturday
2023-01-06,360,6,1,Friday
2023-01-05,361,5,1,Thursday
2023-01-04,362,4,1,Wednesday
2023-01-03,363,3,1,Tuesday
2023-01-02,364,2,1,Monday
2023-01-01,365,1,1,Sunday
